Sitio,Individuos,Nombre,Diametro,Altura (m),Area basal
1,1,Juniperus deppeana,9,5.1,0.00636174
1,2,Juniperus deppeana,53.2,9.6,0.22228705
1,3,Juniperus deppeana,9,5.2,0.00636174
1,4,Juniperus flaccida,54.6,8.1,0.234140306
1,5,Pinus patula,6.8,5,0.00363169
1,6,Pinus patula,15.3,8.9,0.018385429
1,7,Pinus patula,7.4,10,0.00430085
1,8,Pinus patula,14.9,9.3,0.017436665
1,9,Pinus patula,14.1,9.5,0.015614537
1,10,Pinus teocote,7.8,4.3,0.004778374
1,11,Pinus patula,17,9.2,0.02269806
1,12,Pinus patula,10.9,8.9,0.009331337
1,13,Pinus patula,15.5,9.9,0.018869235
1,14,Pinus patula,8.4,8.5,0.005541782
1,15,Juniperus deppeana,23.9,7.3,0.044862833
1,16,Pinus patula,11.4,9.5,0.010207058
1,17,Pinus patula,8.4,6.5,0.005541782
1,18,Pinus patula,12.8,9.3,0.012867994
1,19,Pinus patula,10.4,7.6,0.008494886
1,20,Pinus patula,12.9,7,0.013069841
1,21,Pinus patula,11.4,8.9,0.010207058
1,22,Pinus patula,11.4,7.3,0.010207058
1,23,Pinus patula,11.4,9.2,0.010207058
2,1,Quercus crassifolia,40,17.67,0.125664
2,2,Pinus teocote,9.5,7.2,0.007088235
2,3,Quercus crassifolia,39.2,14.52,0.120687706
2,4,Pinus teocote,5.9,4.1,0.002733977
2,5,Quercus crassifolia,35.9,19.02,0.101223137
2,6,Quercus crassifolia,30.2,14.14,0.071631622
2,7,Quercus crassifolia,44.3,16.49,0.154133965
2,8,Arbutus tessellata,5.3,4.2,0.002206189
2,9,Quercus crassifolia,26.7,10.2,0.055990381
2,10,Arbutus tessellata,5.1,4.15,0.002042825
3,1,Quercus crassifolia,7.9,4.5,0.004901681
3,2,Quercus crassifolia,6.1,5.1,0.002922473
3,3,Quercus crassifolia,5.9,4.7,0.002733977
3,4,Quercus crassifolia,6.1,6,0.002922473
3,5,Pinus patula,6.4,5.2,0.003216998
3,6,Pinus patula,10.5,7.8,0.008659035
3,7,Pinus patula,11.1,8.5,0.009676913
3,8,Pinus patula,10.4,10.5,0.008494886
3,9,Pinus patula,15.6,10.05,0.019113494
3,10,Pinus patula,12.8,10.1,0.012867994
3,11,Quercus crassifolia,42.9,19.41,0.144545801
3,12,Quercus crassifolia,41.5,6,0.135265515
3,13,Quercus crassifolia,19.9,7.3,0.031102625
3,14,Quercus crassifolia,79.1,26.49,0.491409857
3,15,Pinus patula,5.7,7.9,0.002551765
3,16,Pinus teocote,57.8,22.1,0.262389574
3,17,Quercus crassifolia,5.4,4.5,0.002290226
3,18,Pinus teocote,19.6,10.4,0.030171926
3,19,Pinus teocote,20.5,11.6,0.033006435
3,20,Pinus teocote,20.4,13.69,0.032685206
3,21,Pinus teocote,19.5,10.73,0.029864835
3,22,Pinus teocote,9.6,5.6,0.007238246
3,23,Quercus crassifolia,9.5,7.1,0.007088235
3,24,Quercus crassifolia,9.1,6.5,0.006503897
3,25,Pinus teocote,35.6,16.5,0.099538454
4,1,Pinus patula,15.5,14.1,0.018869235
4,2,Pinus patula,16.1,17,0.020358353
4,3,Pinus patula,12.4,14.5,0.01207631
4,4,Quercus affinis,11.8,11.3,0.01093591
4,5,Pinus patula,5.7,4.5,0.002551765
4,6,Pinus patula,7.3,8.2,0.004185397
4,7,Pinus patula,7.5,9.3,0.004417875
4,8,Pinus patula,5,8.25,0.0019635
4,9,Pinus patula,21.1,22,0.034966793
4,10,Pinus patula,22.35,22,0.039232497
4,11,Pinus patula,7.9,11.45,0.004901681
4,12,Pinus patula,32.1,23.2,0.080928401
4,13,Pinus patula,27.4,23.6,0.05896469
4,14,Pinus patula,5.1,7.85,0.002042825
4,15,Pinus patula,7.7,11.3,0.004656637
4,16,Pinus patula,21.1,17.3,0.034966793
4,17,Pinus patula,7.3,12.1,0.004185397
4,18,Pinus patula,6,9.6,0.00282744
4,19,Pinus patula,29.9,19.8,0.070215545
4,20,Pinus patula,28.5,23,0.063794115
4,21,Pinus patula,20.3,20.5,0.032365549
4,22,Pinus patula,23.3,21.1,0.042638581
4,23,Pinus patula,21.8,18.6,0.03732535
4,24,Pinus patula,13.1,15.7,0.013478249
4,25,Pinus patula,5.7,7.6,0.002551765
4,26,Pinus patula,8.7,10.85,0.005944693
4,27,Pinus patula,16.3,20.6,0.020867293
4,28,Pinus patula,9.5,16.1,0.007088235
4,29,Pinus patula,5.8,8.85,0.002642086
4,30,Pinus patula,11.2,13.1,0.009852058
4,31,Pinus patula,34.3,26.7,0.092401525
4,32,Pinus patula,17,13.25,0.02269806
4,33,Pinus patula,10.3,11.6,0.008332309
4,34,Pinus patula,24.3,23.6,0.046377085
4,35,Prunus serotina,14.3,12.95,0.016060645
5,1,Quercus crassifolia,15.1,7,0.017907905
5,2,Quercus crassifolia,7.5,6.5,0.004417875
5,3,Quercus crassifolia,5.1,7,0.002042825
5,4,Quercus crassifolia,32.1,17.7,0.080928401
5,5,Quercus affinis,22.6,9.6,0.04011509
5,6,Quercus crassifolia,6.5,7,0.003318315
5,7,Quercus crassifolia,6.4,5,0.003216998
5,8,Quercus crassifolia,8.7,10,0.005944693
5,9,Pinus patula,23.6,14,0.043743638
5,10,Quercus crassifolia,10.7,9.6,0.008992045
5,11,Quercus crassifolia,8,8,0.00502656
5,12,Quercus crassifolia,7.9,7,0.004901681
5,13,Quercus affinis,10,8,0.007854
5,14,Quercus crassifolia,9.6,6,0.007238246
5,15,Quercus crassifolia,5.5,7,0.002375835
5,16,Quercus crassifolia,8.6,9,0.005808818
5,17,Pinus patula,49.7,35.6,0.194000869
5,18,Quercus affinis,9.2,12.5,0.006647626
5,19,Quercus affinis,5.4,13,0.002290226
5,20,Quercus crassifolia,16.1,13.5,0.020358353
5,21,Quercus crassifolia,6.6,5.3,0.003421202
5,22,Quercus crassifolia,8,8.9,0.00502656
5,23,Quercus crassifolia,16.37,9.5,0.021046906
5,24,Arbutus tessellata,5,7.5,0.0019635
5,25,Quercus crassifolia,14.5,3.5,0.016513035
5,26,Quercus crassifolia,20.5,9,0.033006435
5,27,Quercus crassifolia,5.8,8.5,0.002642086
5,28,Pinus patula,50.2,28.4,0.197923942
5,29,Pinus patula,34.1,27.6,0.091327097
5,30,Pinus patula,30.7,20,0.074023165
5,31,Quercus crassifolia,12,6,0.01130976
5,32,Quercus crassifolia,6.9,6,0.003739289
5,33,Quercus affinis,8.9,7,0.006221153
5,34,Quercus crassifolia,21.2,14,0.035299018
5,35,Quercus crassifolia,8.2,7,0.00528103
5,36,Arbutus tessellata,11,7,0.00950334
5,37,Quercus crassifolia,5,6,0.0019635
5,38,Quercus crassifolia,18.7,15,0.027464653
5,39,Prunus serotina,10.1,8.6,0.008011865
5,40,Quercus affinis,7.1,9.5,0.003959201
5,41,Quercus crassifolia,19,8,0.02835294
5,42,Quercus crassifolia,5.9,7,0.002733977
6,1,Pinus patula,36.6,32,0.105209042
6,2,Quercus affinis,40.7,31,0.130100725
6,3,Quercus affinis,31.6,26.5,0.078426902
6,4,Quercus affinis,34.1,23,0.091327097
6,5,Quercus affinis,8.4,11,0.005541782
6,6,Quercus affinis,13.8,7,0.014957158
6,7,Quercus affinis,5.5,5.1,0.002375835
6,8,Quercus affinis,9.3,6.7,0.006792925
6,9,Quercus affinis,7.1,8.6,0.003959201
6,10,Quercus affinis,5.3,9,0.002206189
6,11,Quercus affinis,5.2,6,0.002123722
6,12,Quercus affinis,17.4,10.2,0.02377877
6,13,Quercus affinis,6.5,5.4,0.003318315
6,14,Quercus affinis,9.4,14,0.006939794
6,15,Quercus affinis,17,14,0.02269806
6,16,Quercus affinis,11,9.2,0.00950334
6,17,Quercus affinis,5.5,10,0.002375835
6,18,Quercus affinis,7.1,8.04,0.003959201
6,19,Quercus affinis,6.5,6.17,0.003318315
6,20,Quercus affinis,16.9,8,0.022431809
6,21,Quercus affinis,5.4,9,0.002290226
6,22,Quercus affinis,9.1,12,0.006503897
6,23,Quercus affinis,22.8,8,0.040828234
6,24,Quercus affinis,13,8.8,0.01327326
6,25,Quercus affinis,19,12,0.02835294
6,26,Quercus affinis,5.1,10,0.002042825
6,27,Quercus crassifolia,15.4,9.6,0.018626546
6,28,Quercus affinis,24.3,13,0.046377085
6,29,Quercus affinis,9.1,10,0.006503897
6,30,Quercus affinis,7.4,8,0.00430085
6,31,Quercus affinis,11.9,4.5,0.011122049
6,32,Quercus affinis,8.2,10,0.00528103
6,33,Quercus affinis,8.3,12,0.005410621
6,34,Quercus affinis,5.6,9.5,0.002463014
6,35,Quercus affinis,6.7,8,0.003525661
6,36,Quercus affinis,14.7,7,0.016971709
6,37,Quercus affinis,13.8,8,0.014957158
6,38,Quercus crassifolia,5.6,6,0.002463014
6,39,Quercus affinis,13.9,9,0.015174713
6,40,Quercus affinis,22.4,9,0.03940823
6,41,Quercus affinis,30.3,25.2,0.072106789
6,42,Quercus affinis,18.4,6,0.026590502
